Date,Country,War,Life Expectancy,Health Expenditure,Percentage of People Undernourished,Improved Water Sources,Improved Sanitation,Human Development Index
2012-12-31,Sierra Leone,0,45.32904878,204.9361256,29.4,60.1,13,
2011-12-31,Sierra Leone,0,45.10258537,191.5567103,30.7,59,12.9,0.348
2010-12-31,Sierra Leone,0,44.83895122,170.6717383,32.1,57.9,12.8,0.346
2009-12-31,Sierra Leone,0,44.50143902,178.3769583,33.6,56.8,12.7,0.342
2008-12-31,Sierra Leone,0,44.06746341,146.2769191,34,55.7,12.6,0.336
2007-12-31,Sierra Leone,0,43.5264878,137.4756876,34.1,54.7,12.5,0.331
2006-12-31,Sierra Leone,0,42.88253659,128.2115612,35.3,53.6,12.4,0.323
2005-12-31,Sierra Leone,0,42.14521951,135.9105291,37.3,52.5,12.3,0.315
2004-12-31,Sierra Leone,0,41.33317073,126.6226412,39.5,51.5,12.2,
2003-12-31,Sierra Leone,0,40.48607317,122.3210644,39.9,50.4,12.2,
2002-12-31,Sierra Leone,1,39.64663415,118.1367935,40.6,49.4,12.1,
2001-12-31,Sierra Leone,1,38.84646341,96.77688117,41.3,48.3,12,
2000-12-31,Sierra Leone,1,38.11160976,121.3352323,41.3,47.3,11.9,0.244
1999-12-31,Sierra Leone,1,37.45307317,98.85225857,39.6,46.2,11.8,
1998-12-31,Sierra Leone,1,36.87880488,93.1052365,36.8,45.1,11.7,
1997-12-31,Sierra Leone,1,36.39826829,95.65727707,35.7,44.1,11.6,
1996-12-31,Sierra Leone,1,36.034,96.00999683,36,43,11.5,
1995-12-31,Sierra Leone,1,35.82012195,94.37412589,37.1,42,11.4,0.239
2012-12-31,Senegal,0,63.20217073,96.48946707,21.6,74.1,51.9,
2011-12-31,Senegal,0,63.04258537,94.11603418,21.5,73.4,51.1,0.471
2010-12-31,Senegal,0,62.84187805,89.15581129,19.3,72.8,50.3,0.47
2009-12-31,Senegal,0,62.56441463,86.72771324,15.9,72.1,49.6,0.462
2008-12-31,Senegal,0,62.19263415,88.98856243,15,71.5,48.8,0.461
2007-12-31,Senegal,0,61.72353659,82.32005991,15.6,70.8,48,0.454
2006-12-31,Senegal,0,61.16868293,90.57974984,16.8,70.2,47.3,0.445
2005-12-31,Senegal,0,60.54970732,86.69845737,18.4,69.5,46.5,0.441
2004-12-31,Senegal,0,59.89929268,86.54866226,20.1,68.9,45.7,
2003-12-31,Senegal,0,59.26165854,77.62911479,22.5,68.3,45,
2002-12-31,Senegal,0,58.67685366,68.67114313,23.8,67.6,44.2,
2001-12-31,Senegal,0,58.17041463,67.76771426,24.7,67,43.5,
2000-12-31,Senegal,0,57.77426829,60.48338803,24.4,66.4,42.7,0.405
1999-12-31,Senegal,1,57.5082439,57.01609237,25.4,65.7,42,
1998-12-31,Senegal,1,57.35914634,47.82436547,26.1,65.1,41.2,
1997-12-31,Senegal,0,57.30336585,45.31623584,26.9,64.5,40.5,
1996-12-31,Senegal,0,57.31934146,45.81461272,25.6,63.8,39.7,
1995-12-31,Senegal,0,57.37960976,43.62627215,24.8,63.2,39,0.378
2012-12-31,Chad,0,50.70058537,41.90424572,29.4,50.7,11.9,
2011-12-31,Chad,0,50.23619512,40.6011744,30.8,50.2,11.7,0.336
2010-12-31,Chad,1,49.76985366,57.11631601,34.7,49.7,11.5,0.336
2009-12-31,Chad,1,49.30753659,57.46119668,37.2,49.2,11.4,0.331
2008-12-31,Chad,1,48.85717073,47.26551067,39.3,48.7,11.2,0.321
2007-12-31,Chad,1,48.42717073,56.26213975,38.4,48.2,11,0.319
2006-12-31,Chad,1,48.028,54.08906514,38,47.7,10.8,0.316
2005-12-31,Chad,1,47.67156098,63.5079472,38,47.2,10.6,0.317
2004-12-31,Chad,0,47.36978049,58.52840899,37.9,46.7,10.4,
2003-12-31,Chad,0,47.12314634,50.11122541,39.3,46.2,10.3,
2002-12-31,Chad,0,46.92970732,61.60083278,39.7,45.7,10.1,
2001-12-31,Chad,0,46.78702439,43.6813229,41.8,45.2,9.9,
2000-12-31,Chad,0,46.68717073,41.39050815,41.7,44.7,9.7,0.29
1999-12-31,Chad,0,46.61773171,39.62602867,41.6,44.2,9.5,
1998-12-31,Chad,0,46.56682927,37.58053695,42.9,43.7,9.3,
1997-12-31,Chad,0,46.52207317,36.73718848,47.2,43.3,9.2,
1996-12-31,Chad,0,46.47753659,34.94905944,53.2,42.8,9,
1995-12-31,Chad,0,46.43329268,36.55056202,51.8,42.3,8.8,
